date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:51	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-66734d1a-b4c77f63d474a1c5;gz%22	https://www.peintre47.fr/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	./website_downloaded/www.peintre47.fr/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.peintre47.fr/)
19:10:51	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-66734d1a-2747fec7399813d6;gz%22	https://www.peintre47.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	./website_downloaded/www.peintre47.fr/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.peintre47.fr/)
19:10:51	41953/41953	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a3e1-6658c1f0-4909b9b021a86483;gz%22	https://www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/slick/slick.min.js?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/slick/slick.min109c.js	(from https://www.peintre47.fr/)
19:10:51	2704/2704	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a90-6658c1f0-2bcff58fc229794a;gz%22	https://www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/js/google-review.js?ver=6.6.2	./website_downloaded/www.peintre47.fr/wp-content/plugins/ninja-google-review/assets/frontend/js/google-review109c.js	(from https://www.peintre47.fr/)
19:10:51	1836/1836	---M-Z	200	added ('OK')	application/x-javascript	etag:%2272c-66a3e74a-5098050aef894f8c;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/js/jquery.json.minfae6.js	(from https://www.peintre47.fr/)
19:10:52	46736/46736	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b690-66a3e74a-165b8628ab0d1f97;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/js/gravityforms.min.js?ver=2.8.14	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/js/gravityforms.minfae6.js	(from https://www.peintre47.fr/)
19:10:52	38829/38829	---M-Z	200	added ('OK')	application/x-javascript	etag:%2297ad-66a3e74a-ee99e28452175a94;gz%22	https://www.peintre47.fr/wp-content/plugins/gravityforms/assets/js/dist/utils.min.js?ver=50c7bea9c2320e16728e44ae9fde5f26	./website_downloaded/www.peintre47.fr/wp-content/plugins/gravityforms/assets/js/dist/utils.minbdb4.js	(from https://www.peintre47.fr/)
19:10:52	1233/1233	---M-Z	200	added ('OK')	application/x-javascript	etag:%224d1-66597519-82cc286c925265c6;gz%22	https://www.peintre47.fr/wp-content/uploads/dynamic_avia/avia-head-scripts-44963ede28591763c2d61e00f9168584---665975194114d.js	./website_downloaded/www.peintre47.fr/wp-content/uploads/dynamic_avia/avia-head-scripts-44963ede28591763c2d61e00f9168584---665975194114d.js	(from https://www.peintre47.fr/)
19:10:52	71283/71283	---MCZ	200	added ('OK')	application/json	date:Tue,%2029%20Oct%202024%2018:10:53%20GMT	https://www.peintre47.fr/wp-json/wp/v2/pages/2	./website_downloaded/www.peintre47.fr/wp-json/wp/v2/pages/2.json	(from https://www.peintre47.fr/)
19:10:53	810/810	---M-Z	200	added ('OK')	text/xml	date:Tue,%2029%20Oct%202024%2018:10:53%20GMT	https://www.peintre47.fr/xmlrpc.php?rsd	./website_downloaded/www.peintre47.fr/xmlrpc0db0.php	(from https://www.peintre47.fr/)
19:10:53	45277/45277	---MCZ	200	added ('OK')	application/rss+xml	etag:%2243f916334fb142ffdcc9ae30b1df2fdb%22	https://www.peintre47.fr/feed/	./website_downloaded/www.peintre47.fr/feed/index.html	(from https://www.peintre47.fr/)
19:10:53	267663/267663	---MCZ	200	added ('OK')	application/json	date:Tue,%2029%20Oct%202024%2018:10:53%20GMT	https://www.peintre47.fr/wp-json/	./website_downloaded/www.peintre47.fr/wp-json/index.html	(from https://www.peintre47.fr/)
19:10:53	720/720	---M-Z	200	added ('OK')	application/rss+xml	etag:%2243f916334fb142ffdcc9ae30b1df2fdb%22	https://www.peintre47.fr/comments/feed/	./website_downloaded/www.peintre47.fr/comments/feed/index.html	(from https://www.peintre47.fr/)
19:10:53	2019/2019	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Oct%202024%2018:10:53%20GMT	https://www.peintre47.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.peintre47.fr%2F	./website_downloaded/www.peintre47.fr/wp-json/oembed/1.0/embeda293.json	(from https://www.peintre47.fr/)
